"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"lambda_3",0.397377825813915,-0.000744437904524275,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"lambda_4",-1.93409546456067,-0.000134149485691903,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_u_1",1.25103450053255,0.000226333394742539,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_u_2",1.5948190349324,-0.000150893552159914,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_u_3",1.48503540902908,-0.000100566794543566,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_u_4",0.985620900882747,-0.000153475698731254,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_e_1",0.621720795843288,-4.00241281539593e-06,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_e_2",0.47424188115293,-5.61479320710934e-05,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_e_3",0.408808777983633,-9.93161335386405e-05,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"sigma2_e_4",0.551438761664586,3.22100573186823e-05,7997.97192983528,19,1,11.7308719158173,3,0,"block",200
"theta_ou_11",1.11793085513606,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"theta_ou_21",-5.21356251336005,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"theta_ou_12",-0.697587149915626,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"theta_ou_22",6.71156374627244,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"sigma_ou_11",1.08419505564235,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"sigma_ou_22",2.48314250874296,NA,7997.46964859501,15,0,22.468847990036,3,0,"block",200
"lambda_1",1.11818078523027,6.4603302627475e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"lambda_2",1.68846528248343,2.28988087158655e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"lambda_3",0.401676240118,-3.15155022079239e-07,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"lambda_4",-1.92768206725878,4.61587230882188e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_u_1",1.25168946710196,-2.54733653293204e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_u_2",1.59670835428607,4.92061805934529e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_u_3",1.48498156113603,1.65637229850302e-05,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_u_4",0.980514258442165,-1.06062997096146e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_e_1",0.621730828969314,-6.23112275910387e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_e_2",0.473819198180424,8.14059903131437e-06,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_e_3",0.406996660293171,-2.25513893259421e-05,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
"sigma2_e_4",0.604120467910091,3.48775989422734e-07,7997.1571971364,21,1,13.1848440170288,4,0,"block",200
